Frequency_(MHz),VSWR_FCA_1,VSWR_FCA_2,VSWR_FCA_3,VSWR_FCA_4,VSWR_FCA_5,VSWR_FCA_6,VSWR_FCA_7,VSWR_FCA_9,VSWR_FCA_10,VSWR_FCA_11,VSWR_FCA_12,VSWR_FCA_13,VSWR_FCA_14,VSWR_FCA_15
1,7.41,11.85,9.28,7.34,8.2,15.96,0,25.19,22.58,23.18,19.76,22.87,23.81,22.01
1.1,6.76,11.03,27.59,6.81,7.44,16.57,0,28.03,22.87,22.58,22.29,23.49,26.33,25.19
1.2,6,10.31,6.68,6.09,6.63,17.04,0,27.99,22.55,23.15,21.71,22.85,26.3,25.53
1.3,5.37,9.06,27.34,5.53,5.93,17.64,0,27.78,22.41,22.12,21.58,22.7,23.63,25.72
1.4,4.56,7.47,19.75,4.74,4.96,12.52,0,20.21,19.31,18.89,15.12,19.1,17.04,19.75
1.5,4.23,7.5,21.43,4.44,4.64,13.48,0,21.97,20.91,20.67,15.38,20.67,21.17,20.91
1.6,3.76,6.33,18.93,3.95,4.11,12.91,0,17.95,17.24,16.91,15.28,16.91,17.41,17.59
1.7,3.48,6.03,17.57,3.67,3.81,10.56,0,14.75,17.05,16.72,14.87,16.72,16.72,17.22
1.8,3.25,5.58,16.97,3.45,3.54,11.49,0,16.97,13.34,13.23,14.44,13.34,16.64,13.34
1.9,3.02,5.22,15.52,3.2,3.29,10.62,0,15.25,14.74,14.74,10.95,14.61,15.12,14.86
2,2.86,4.94,15.08,3.03,3.1,9.26,10.54,11.74,14.45,14.33,13.05,14.33,14.7,14.57
2.1,2.71,4.74,2.22,2.88,2.94,10.24,9.52,14.13,13.8,11.75,12.42,13.48,10.88,13.8
2.2,2.58,4.55,13.6,2.74,2.8,9.69,10.63,13.39,12.99,12.9,11.93,12.71,13.19,13.09
2.3,2.46,4.26,12.42,2.61,2.66,9.07,9.84,12.33,9.17,9.07,11.08,9.12,11.99,9.17
2.4,2.37,4.14,11.77,2.51,2.55,12.36,3.6,11.77,11.25,11.32,10.5,11.25,11.54,11.47
2.5,2.29,4.02,11.19,2.43,2.46,5.58,4.47,8.17,9.6,10.91,10.15,10.98,11.19,11.05
2.6,2.21,3.86,10.5,2.34,2.37,6.79,4.3,10.5,10.2,10.32,7.03,10.26,10.2,10.38
2.7,2.15,3.85,1.39,2.27,2.3,8.34,4.19,7.16,9.89,9.83,9.21,9.83,10,9.94
2.8,2.09,3.71,9.21,2.21,2.23,7.24,4.02,9.45,9.35,7.68,6.41,9.3,6.69,9.35
2.9,2.04,3.63,8.66,2.15,2.17,6.57,3.93,8.93,8.93,8.79,8.38,8.84,8.97,8.93
3,1.99,3.57,8.15,2.1,2.12,6.37,3.78,8.67,8.47,5.79,5.57,7.97,5.81,5.59
3.1,1.95,3.27,7.44,2.05,2.07,7.77,3.75,8.2,8.05,8.05,7.67,8.01,8.16,8.09
3.2,1.91,3.18,6.9,2.01,2.03,1.12,3.68,7.78,5.05,5.04,7.36,4.98,5.12,4.89
3.3,1.87,3.35,1.52,1.97,1.99,5.29,3.61,7.45,7.35,7.32,7.03,7.29,7.39,7.32
3.4,1.84,2.98,5.75,1.94,1.95,4.92,3.54,7.07,4.24,7.65,6.75,4.28,7.04,4.16
3.5,1.81,3.26,5.4,1.9,1.92,4.65,3.15,6.77,6.7,6.67,6.48,6.65,6.75,6.67
3.6,1.79,3.22,5.06,1.88,1.89,4.38,3.4,3.62,6.51,6.48,6.21,6.46,6.53,6.46
3.7,1.77,3.17,4.54,1.86,1.87,1.7,3.44,6.3,6.3,6.28,3.44,6.25,5.68,6.28
3.8,1.75,3.15,4.15,1.84,1.85,3.53,3.35,3.14,6.14,6.12,5.9,6.1,6.12,6.1
3.9,1.74,3.13,2.44,1.82,1.83,3.65,3.31,5.89,5.92,2.72,3.02,5.51,3.29,2.64
4,1.72,2.27,3.31,1.8,1.8,3.44,2.59,5.7,5.73,5.7,5.54,5.68,5.75,5.68
4.1,1.7,3.05,2.92,1.78,1.79,4.12,3.22,5.48,3.1,2.82,5.31,2.71,2.7,2.67
4.2,1.69,3.02,2.68,1.76,1.77,0,2.42,5.27,5.3,5.24,5.12,5.21,5.32,5.18
4.3,1.68,2.99,2.21,1.75,1.75,0,3.14,2.52,2.88,5.09,4.96,5.07,5.1,5.04
4.4,1.66,2.94,1.91,1.73,1.74,0,3.13,4.96,4.99,4.93,3.08,4.91,4.93,4.84
4.5,1.66,2.91,3.67,1.72,1.73,0,3.08,3.04,3.14,4.77,4.71,4.75,4.75,4.67
4.6,1.65,1.82,1.48,1.71,1.72,0,3.06,4.63,4.61,4.55,3.14,4.54,4.61,4.48
4.7,1.64,1.86,1.45,1.7,1.71,0,1.99,4.36,4.44,4.48,4.4,4.46,4.38,4.33
4.8,1.63,2.74,1.52,1.7,1.7,0,2.97,4.14,4.24,4.06,3.08,3.88,3.94,4.17
4.9,1.62,2.67,1.75,1.69,1.69,0,2.93,3.92,4.02,4.09,3.91,4.09,4.05,3.9
5,1.62,2.55,2.28,1.68,1.69,0,2.86,3.65,4.66,3.47,3.68,2.68,4.32,2.67
5.4,1.6,2,4.42,1.66,1.66,0,2.44,2.91,3.08,3.03,2.86,2.87,2.92,2.9
5.8,1.59,2.31,4.81,1.64,1.64,0,2.64,5.01,5.04,4.16,3.89,3.94,3.99,4.16
6.2,1.58,2.55,4.6,1.63,1.64,0,2.55,4.43,4.6,4.62,4.71,4.52,4.51,4.6
6.6,1.58,2.56,4.08,1.63,1.63,0,2.7,4.51,4.6,4.58,4.44,4.56,4.55,4.7
7,1.58,2.45,4.14,1.63,1.63,0,2.77,4.5,4.58,4.58,4.55,4.61,4.55,4.56
7.4,1.58,2.5,4.75,1.63,1.63,0,2.84,4.48,4.55,4.51,4.44,4.48,4.52,4.52
7.8,1.58,2.51,3.47,1.63,1.63,0,2.89,4.43,4.49,4.51,4.49,4.49,4.47,4.46
8.2,1.58,2.14,5.96,1.63,1.63,0,2.91,4.32,4.41,4.38,4.34,4.38,4.36,4.39
8.6,1.59,2.93,5.27,1.63,1.63,0,2.94,4.29,4.34,4.28,4.31,4.3,4.16,4.21
9,1.58,2.99,5.6,1.63,1.63,0,2.97,4.21,4.3,4.31,4.28,4.29,4.26,4.26
9.4,1.59,3.04,5.51,1.63,1.63,0,2.99,4.17,4.23,4.21,4.23,4.23,4.22,4.21
9.8,1.58,3.04,5.24,1.62,1.63,0,2.98,4.12,4.19,4.18,4.16,4.16,4.17,4.15
10.2,1.58,3.03,4.06,1.62,1.62,0,2.95,4.02,4.12,4.09,4.1,4.09,4.07,4.07
10.6,1.57,3.06,3.15,1.61,1.61,0,2.94,3.96,4.04,4.01,4.02,4,4.01,4
11,1.56,3.06,4.8,1.6,1.61,0,2.93,3.89,3.97,3.94,3.95,3.94,3.92,3.94
11.4,1.55,3.03,4.45,1.59,1.6,0,2.88,3.79,3.87,3.82,3.86,3.84,3.83,3.84
11.8,1.54,3.03,2.81,1.58,1.58,0,2.81,3.63,3.71,3.61,3.7,3.7,3.68,3.68
12.2,1.53,3.03,3.47,1.57,1.57,0,2.71,3.37,3.46,3.2,3.44,3.46,3.41,3.42
12.6,1.52,3.01,2.72,1.55,1.56,0,2.59,3.17,3.3,3.28,3.28,3.23,3.23,3.24
13,1.51,2.99,2.45,1.54,1.54,0,2.72,3.4,3.5,3.52,3.49,3.46,3.35,3.34
13.4,1.49,2.97,2.38,1.52,1.53,0,2.72,3.43,3.52,3.53,3.56,3.55,3.52,3.51
13.8,1.48,2.94,2.78,1.51,1.51,0,2.69,3.42,3.54,3.43,3.54,3.52,3.49,3.45
14.2,1.46,2.89,3.08,1.49,1.5,0,2.65,3.4,3.5,3.49,3.48,3.48,3.45,3.42
14.6,1.45,2.87,3.14,1.48,1.49,0,2.62,3.35,3.46,3.44,3.44,3.43,3.4,3.36
15,1.44,2.85,2.44,1.47,1.47,0,2.58,3.3,3.4,3.4,3.4,3.39,3.37,3.28
15.4,1.43,2.84,2.69,1.46,1.46,0,2.56,3.26,3.36,3.36,3.37,3.36,3.33,3.25
