Frequency_(MHz),VSWR_Test_1,VSWR_Test_1a,VSWR_Test_2,VSWR_Test_3,VSWR_Test_4,VSWR_Test_5,VSWR_Test_6,VSWR_Test_7,VSWR_Test_8,VSWR_Test_9,VSWR_Test_10,VSWR_Test_11,VSWR_Test_12,VSWR_Test_13,VSWR_Test_14,VSWR_Test_15,VSWR_Test_16
1.00,10.18,10.06,0.00,20.39,42.13,20.39,42.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,39.24
1.10,8.54,8.42,0.00,16.36,26.84,16.36,26.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.25,26.84
1.22,6.96,6.91,0.00,8.55,10.82,8.55,10.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.01,17.74
1.35,5.93,5.89,0.00,8.74,10.78,8.74,10.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.03,14.76
1.49,4.98,4.96,0.00,7.54,9.14,7.54,9.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.75,12.23
1.64,4.19,4.17,0.00,6.41,7.57,6.41,7.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.85,9.07
1.81,3.64,3.64,0.00,5.62,6.53,5.62,6.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.72,7.74
2.00,3.12,3.13,0.00,4.73,5.30,4.73,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,6.14
2.21,2.75,2.75,0.00,4.05,4.43,4.05,4.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69,5.16
2.44,2.49,2.49,0.00,3.58,3.88,3.58,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,4.50
2.69,2.26,2.26,0.00,3.20,3.44,3.20,3.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.65,3.91
2.97,2.09,2.10,0.00,2.92,3.10,2.92,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.37,3.52
3.28,1.97,1.97,0.00,2.70,2.87,2.70,2.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.05,3.21
3.62,1.85,1.85,0.00,2.49,2.61,2.49,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,2.93
4.00,1.76,1.77,0.00,2.35,2.47,2.35,2.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.66,2.74
4.42,1.70,1.70,0.00,2.23,2.34,2.23,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,2.58
